index,name,hex,L,C,H,a,b
3,orange_10_v1,#f3912b,69.10115457895138,71.6952182642882,65.22266123490579,30.046964947394507,65.09519352005931
4,orange_10_v1,#e6821e,64.06903558552371,72.06152438450694,63.44382286273128,32.21691035004759,64.45877740165326
5,orange_10_v1,#d87311,58.88632872138486,71.76768236884217,61.65988585678241,34.068444360225044,63.16598239138904
6,orange_10_v1,#ca6401,53.682376988301215,71.5789348362924,59.84873564931701,35.95299770658384,61.89447364836841
7,orange_10_v1,#bd5507,48.678680112243754,68.32583676692589,55.75636272385873,38.447845537767144,56.481706272071854
8,orange_10_v1,#af470b,43.72297657985379,64.87093751209378,51.9937033291431,39.94415471023949,51.1146068964873
0,green_10_v1,#ace288,84.45265329379436,50.71925170889468,130.61552050311627,-33.01721176960576,38.50073013426139
1,green_10_v1,#96d680,79.69010520825103,51.108047775492956,135.01524655051094,-36.14846251342946,36.12922923807338
2,green_10_v1,#82ca7a,75.07046619579803,50.45542219601645,139.16414292731997,-38.17386510680348,32.992509025320295
3,green_10_v1,#72bd74,70.33809828516983,48.52228377418567,142.15612700678548,-38.31734200996206,29.76899937777886
4,green_10_v1,#63b16e,65.92047224929517,47.00330466155852,144.95772993128116,-38.482952843870436,26.988386197098446
5,green_10_v1,#53a367,60.79151130165292,44.91178613733134,147.96779753447743,-38.07397239758159,23.821023485853466
6,green_10_v1,#46965b,55.956236199360774,44.90959428418389,147.91526381034373,-38.05025814577212,23.85475872462568
7,green_10_v1,#3a8b50,51.77252261431475,45.424150788664896,147.6303295938638,-38.36575776222057,24.319171577214092
8,green_10_v1,#2c7e45,46.82442302591309,45.021997646673846,147.95202710361798,-38.16083004313661,23.88998372782928
0,red_10_v1,#ffc8c2,85.23395231308734,21.41267355430518,29.351424634493696,18.663921930945627,10.495742322428047
1,red_10_v1,#fcb4ae,79.83969188457164,28.758974782828727,28.014720296647624,25.38919794066963,13.508044214055403
2,red_10_v1,#f79f99,74.10952839099798,36.16899600000944,27.688193519201775,32.02726232144598,16.806270848763138
3,red_10_v1,#f18a84,68.4227917327787,43.565014415003176,27.98113895490451,38.47235524198872,20.439871895725204
4,red_10_v1,#ea7471,62.6594693234498,50.84030731946086,27.08291500136619,45.26559663509055,23.146546386156718
5,red_10_v1,#e1605f,57.2738036875121,56.595259659221,27.41099009475505,50.241145524307306,26.0547637160659
6,red_10_v1,#d64a4f,51.56772493799349,61.6651913861942,26.636229322051122,55.12072201303897,27.646009358626078
7,red_10_v1,#c73843,46.14971304477025,62.89190647312475,25.808808957103906,56.618554902373276,27.38121875649828
8,red_10_v1,#b72236,40.37900236940712,64.31519166497533,25.30334548060023,58.14463748849777,27.488997985261165
0,blue_teal_10_v1,#abded5,84.84438220059783,18.238527575956855,183.0061778521695,-18.21342928071701,-0.9564946289754683
1,blue_teal_10_v1,#93cfcd,79.17591273778474,20.17919144329765,194.87263495220927,-19.503163877766518,-5.179417540828357
2,blue_teal_10_v1,#81bfc5,73.51805385557074,20.54272387644601,207.06644943961084,-18.292872521788407,-9.347423129692146
3,blue_teal_10_v1,#71aebd,67.61688670126186,21.003230479438937,221.3360787229927,-15.770241716433265,-13.872100301601797
4,blue_teal_10_v1,#619eb6,61.97265442483091,22.790156711699115,234.60722249675618,-13.199566857994395,-18.57855424152106
5,blue_teal_10_v1,#548fb1,56.78419931495026,25.562048528730795,248.20236644154565,-9.491942359925565,-23.734391823281232
6,blue_teal_10_v1,#4e7ca9,50.56786512075415,28.872431422943425,265.159077386313,-2.436531534323494,-28.76943882585856
7,blue_teal_10_v1,#426e9b,45.186504147396796,29.0326793023231,267.35317283925224,-1.3407122819759643,-29.00170612306281
8,blue_teal_10_v1,#33608c,39.516438352345745,28.983093533853896,267.8853253475161,-1.0694661954704643,-28.96335534514034
0,green_gold_10_v1,#f1ce63,83.83407263352926,56.731487239680646,89.97180892352009,0.02791342826041765,56.731480372598874
1,green_gold_10_v1,#cec85e,79.17929457795611,54.18639118761718,102.49685859435374,-11.725181069991542,52.9026003029472
2,green_gold_10_v1,#acc15e,74.64729374346037,51.866594477689716,115.15041494575496,-22.04309905420365,46.949391974760225
3,green_gold_10_v1,#8cb861,69.9784693386652,49.30970371510196,127.09073515142416,-29.737647243366748,39.33343637289046
4,green_gold_10_v1,#6cae66,65.29324210317472,46.8738171067286,139.4499658917524,-35.61653269743731,30.47322314372771
5,green_gold_10_v1,#52a266,60.420172236742246,44.94565102611967,147.9333251204812,-38.088331570440225,23.861905714798603
6,green_gold_10_v1,#46975b,56.27687381544739,45.5041686677449,147.75627752141241,-38.48680159921669,24.277468335992292
7,green_gold_10_v1,#3a8a50,51.44440086501335,44.832582412275684,147.79870392147723,-37.93648443063569,23.891077723652966
8,green_gold_10_v1,#2c7e45,46.82442302591309,45.021997646673846,147.95202710361798,-38.16083004313661,23.88998372782928
0,orange_gold_10_v1,#eeca46,82.30539067025096,67.33438936689848,90.74978727906569,-0.8811299551801377,67.32862393822687
1,orange_gold_10_v1,#eebe39,79.21555354639042,69.30299393277376,86.05945733896488,4.762587532554596,69.13915481144409
2,orange_gold_10_v1,#eeb22d,76.19885513149197,71.20185313615647,81.41380599010017,10.630229360728494,70.40385013449976
3,orange_gold_10_v1,#eda523,72.91853684740441,72.50404042144243,76.60688619008522,16.794182452125163,70.53220054130516
4,orange_gold_10_v1,#ec9818,69.72508816047772,74.37936574346948,71.96499174768286,23.027705925142804,70.72492352930432
5,orange_gold_10_v1,#ea8c10,66.74147167639359,75.59171149326146,67.93174521104027,28.400626510514115,70.0536313140922
6,orange_gold_10_v1,#e5800a,63.44436557292043,75.80661184290796,64.57539059899472,32.54552883512496,68.46481543057983
7,orange_gold_10_v1,#e17505,60.556558558095446,76.40575876819658,61.420004537788145,36.551390711501206,67.09572124956279
8,orange_gold_10_v1,#dc6903,57.39546009570586,76.74421974367816,58.053890686877935,40.60700756652291,65.12101197431066
9,orange_gold_10_v1,#d85c03,54.30630327382967,77.62458986711844,54.213896687434726,45.391828135596555,62.96950762509432
10,orange_gold_10_v1,#d24f04,51.04410467128311,77.84836827414951,50.83730388506444,49.163161291601256,60.36018567535729
0,red_gold_10_v1,#f1ce63,83.83407263352926,56.731487239680646,89.97180892352009,0.02791342826041765,56.731480372598874
1,red_gold_10_v1,#f6ba57,79.27277325265418,58.408168364995504,78.44575479365778,11.698898890749875,57.22455676104161
2,red_gold_10_v1,#faa650,74.9386728354266,60.53017725717499,67.2119699245697,23.44472907886136,55.80543913637646
3,red_gold_10_v1,#fc924e,70.7389001430832,62.61571544257904,56.513318228652565,34.54779121336388,52.22238928528499
4,red_gold_10_v1,#f5814b,66.23349079249579,63.02392599469473,50.22997685873236,40.31688758456292,48.44134415226805
5,red_gold_10_v1,#ed724a,62.116324882007675,62.70644015618217,44.55906811170553,44.68006176792727,43.997610360962334
6,red_gold_10_v1,#e46149,57.58756590437309,62.9407640079011,38.21344791307325,49.45329624089773,38.93470514603018
7,red_gold_10_v1,#da5147,53.22178403229708,63.25356363832488,33.0152989134084,53.039701438654994,34.46452356040852
8,red_gold_10_v1,#cf4144,48.84376512895106,63.58236995131625,28.604429858533138,55.82188498160784,30.440678798709296
9,red_gold_10_v1,#c33041,44.37795233714097,63.68802475275701,24.304481095428002,58.043424498351484,26.213076305766936
10,red_gold_10_v1,#b71d3e,40.07639575056857,63.755629745668536,20.31115544298723,59.7913919528692,22.130742703423735
0,gray_warm_10_v1,#dcd4d0,85.43176609264363,3.591774439298912,55.260865362039794,2.046740116394885,2.9515586592071763
1,gray_warm_10_v1,#cec5c1,80.12617050909411,3.9557893921611447,52.07506767902788,2.4313409507738526,3.120392747111289
2,gray_warm_10_v1,#c0b8b4,75.31621910160949,3.6939851033324396,55.20253866222174,2.1080730151530336,3.0334063536601175
3,gray_warm_10_v1,#b3aaa7,70.26241503826691,3.804451727280861,45.12741151138755,2.6841647383769596,2.6961291887563688
4,gray_warm_10_v1,#a59c99,65.02327340601927,3.869973850158085,45.1060693252453,2.7314141242518186,2.7415460023032745
5,gray_warm_10_v1,#98908c,60.35178086707103,3.8770842416984483,55.08567334261204,2.2190527805504567,3.1792431448943503
6,gray_warm_10_v1,#8b827f,55.058761015425276,4.012326947845001,45.05682253149058,2.8343284888499576,2.8399559069986813
7,gray_warm_10_v1,#7e7673,50.252097246971175,3.7169541067756158,47.74274597867236,2.49950488593359,2.751040377215541
8,gray_warm_10_v1,#726866,44.85404391489677,4.373407623046903,35.65391260925884,3.5536239583788265,2.5492059547554735
9,gray_warm_10_v1,#665c5a,39.94434074718665,4.479387622707765,35.656592688950525,3.6396161523030157,2.6111506540915097
10,gray_warm_10_v1,#59504e,34.825356044062104,4.169819204147116,37.2815993198011,3.3177919337442354,2.525796682168968
0,Gray_10_v1,#d5d5d5,85.2704731636151,0.000015671211252426213,NaN,-0.000014550354365816531,0.0000058201417463266125
1,Gray_10_v1,#c6c8c7,80.42519156113995,0.9090109840525721,163.57425147250774,-0.8719115136593958,0.25704334552056896
2,Gray_10_v1,#b6b9b9,74.9167134986884,1.1077792034150955,199.31960194741265,-1.045397742903742,-0.3664946420491644
3,Gray_10_v1,#a7acad,69.99159418414385,1.9318046204824992,215.71707165125252,-1.5684507571390172,-1.1277549885270188
4,Gray_10_v1,#979fa1,64.92167311123512,3.1791069203212747,219.63770004043113,-2.4482100758664305,-2.0280503532360106
5,Gray_10_v1,#889296,59.88302435706349,4.352159429891195,230.41284158778174,-2.773419168147051,-3.354018160497252
6,Gray_10_v1,#7a858b,54.841235623487364,5.347659498884557,239.2970511890782,-2.7304463338710394,-4.598056647526261
7,Gray_10_v1,#6c7880,49.71280702987525,6.45977638331363,245.65916369372798,-2.6624862181302555,-5.88556522864907
8,Gray_10_v1,#606b76,44.6741099859293,7.703152289652934,257.9006204860035,-1.6146421445762393,-7.532030665268397
9,Gray_10_v1,#555f6a,39.8421074695986,7.656002769702017,260.61515345217794,-1.248426323326196,-7.553529646788393
10,Gray_10_v1,#49525e,34.516582837584245,8.201514756225178,265.77700005854183,-0.6039475551073425,-8.17924762109934
