term,frequency,entropy,rel_term,rt_score,CHex,Clab_L,Clab_a,Clab_b,C Prob,RHex,Rlab_L,Rlab_a,Rlab_b,RC Prob
lightyellow,2447,-8.01969250806498,lightyellow,0.06114,#ffff91,100,-14,55,0.1532258064516129,#ffff91,100,-15,55,0.17857142857142858
mustardyellow,3139,-8.610816052007904,mustardyellow,0.03105,#c5b200,72,-8,75,0.06611570247933884,#bcae00,70,-10,75,0.06611570247933884
brightred,1749,-7.1656395155478565,brightred,0.0338,#ff0c24,54,80,56,0.06483300589390963,#ff150f,55,80,65,0.06567796610169492
peagreen,4870,-9.887868155738175,peagreen,0.01863,#8aa310,63,-26,63,0.04120879120879121,#849a00,60,-25,65,0.044
khaki,4965,-9.880112349709325,khaki,0.03147,#a8a665,67,-9,34,0.08426966292134831,#afaf6b,70,-10,35,0.08791208791208792
orangered,2290,-8.126389920807927,orangered,0.02811,#f75133,58,62,52,0.056,#eb4b2f,55,60,50,0.05847953216374269
crimson,2859,-8.689643545608968,crimson,0.02549,#88000e,27,52,34,0.0546875,#810000,25,50,40,0.057777777777777775
deepblue,3312,-9.190723529803464,deepblue,0.01378,#00026f,10,42,-59,0.03283582089552239,#000671,10,40,-60,0.03283582089552239
springgreen,4612,-9.690730537829376,springgreen,0.01188,#bafe85,93,-41,51,0.027624309392265192,#b9ff81,95,-45,55,0.02912621359223301
cream,2159,-8.079011777869784,cream,0.05946,#ffffca,100,-8,27,0.14035087719298245,#ffffce,100,-5,25,0.17475728155339806
palepink,3211,-9.088958751918819,palepink,0.03801,#ffdee9,92,15,0,0.10365853658536585,#ffe7fb,95,15,-5,0.10476190476190476
yelloworange,2039,-7.875047030571461,yelloworange,0.03998,#ffb828,80,17,76,0.08050847457627118,#ffb618,80,20,80,0.0903954802259887
deeppurple,4070,-9.5931019072033,deeppurple,0.02496,#2c0026,6,27,-14,0.0625,#2c0025,5,30,-15,0.07894736842105263
pinkred,2649,-8.583022328710404,pinkred,0.02432,#ed1a4b,51,75,30,0.0455531453362256,#ff194d,55,80,35,0.04914004914004914
pastelgreen,4148,-9.525600254035972,pastelgreen,0.01881,#bcffa6,94,-37,36,0.04945054945054945,#c2ffab,95,-35,35,0.04945054945054945
sand,3716,-9.364247944555839,sand,0.03157,#e3cf79,83,-4,45,0.06880733944954129,#e7d57e,85,-5,45,0.06880733944954129
rust,3191,-9.094553252640909,rust,0.02931,#a03b12,39,40,44,0.06513409961685823,#943100,35,40,50,0.06711409395973154
lightred,3085,-9.041314265712753,lightred,0.02608,#ff5756,61,64,37,0.05970149253731343,#ff6963,65,60,35,0.06504065040650407
taupe,3888,-9.751499292388344,taupe,0.0283,#ac9178,62,6,17,0.07017543859649122,#b49a7a,65,5,20,0.0718232044198895
armygreen,3503,-9.42805055616176,armygreen,0.02984,#4d5415,34,-12,34,0.06493506493506493,#484a00,30,-10,40,0.07142857142857142
robinseggblue,3415,-9.322777436044696,robinseggblue,0.01227,#b5f6ff,93,-18,-11,0.02510460251046025,#e4ffff,100,-10,-5,0.025210084033613446
huntergreen,2893,-8.979056342710784,huntergreen,0.02573,#002b00,14,-25,20,0.04964539007092199,#002e17,15,-25,10,0.05434782608695652
greenblue,3237,-9.33570724133311,greenblue,0.01206,#007764,44,-35,2,0.021538461538461538,#00514e,30,-25,-5,0.023952095808383235
lightteal,3513,-9.396430048497082,lightteal,0.0132,#9bdcc3,83,-26,6,0.029508196721311476,#94d3bc,80,-25,5,0.03103448275862069
cerulean,3324,-9.638204246985207,cerulean,0.00862,#007ba9,48,-13,-33,0.017408123791102514,#0081b2,50,-15,-35,0.0199501246882793
flesh,2402,-8.831147580289537,flesh,0.03402,#ffcdab,86,14,24,0.08333333333333333,#ffc9a6,85,15,25,0.08333333333333333
orangebrown,2306,-8.728977935707666,orangebrown,0.02536,#b46206,50,28,57,0.052083333333333336,#b06400,50,25,60,0.05641025641025641
slateblue,2896,-9.351690910943061,slateblue,0.018,#5e7a95,50,-3,-18,0.045774647887323945,#5d7b90,50,-5,-15,0.04780876494023904
slate,3163,-9.617979310118276,slate,0.02102,#50606d,40,-3,-9,0.04878048780487805,#516166,40,-5,-5,0.05154639175257732
coral,2234,-8.799722437910656,coral,0.0267,#ff685e,64,58,36,0.06040268456375839,#ff6f59,65,55,40,0.07482993197278912
blueviolet,2426,-9.132519853847898,blueviolet,0.00922,#6c35d7,39,59,-74,0.016483516483516484,#7d00ff,40,85,-95,0.01838235294117647
ochre,2832,-9.500997043580918,ochre,0.01722,#ba9003,62,5,66,0.04,#c39800,65,5,70,0.041237113402061855
leafgreen,2758,-9.405770354267217,leafgreen,0.00814,#5e9e1b,59,-41,56,0.015086206896551725,#5ba200,60,-45,65,0.017543859649122806
electricblue,1882,-8.732626265115078,electricblue,0.00734,#001ffd,34,72,-104,0.014473684210526316,#150fff,35,80,-110,0.017804154302670624
seablue,2706,-9.516853810780988,seablue,0.0089,#006f93,43,-15,-28,0.018475750577367205,#006787,40,-15,-25,0.022222222222222223
midnightblue,2005,-8.701329760187637,midnightblue,0.02513,#00022d,2,11,-26,0.06382978723404255,#000028,0,10,-25,0.06382978723404255
steelblue,2425,-9.195818377311284,steelblue,0.01624,#607995,50,-2,-18,0.0375,#6f85a6,55,0,-20,0.04048582995951417
brick,2279,-9.098948313707922,brick,0.02009,#a54030,41,41,31,0.041237113402061855,#a03f38,40,40,25,0.0449438202247191
palepurple,2975,-9.741194579003825,palepurple,0.01605,#bd9bbc,68,18,-12,0.021834061135371178,#a7889a,60,15,-5,0.03048780487804878
mediumblue,2357,-9.31347450538179,mediumblue,0.00779,#0066b1,42,4,-47,0.014799154334038054,#0061b0,40,5,-50,0.016713091922005572
burntsienna,2034,-8.915337934956204,burntsienna,0.01965,#a44217,41,38,44,0.038314176245210725,#943100,35,40,50,0.040268456375838924
darkmagenta,1904,-8.86670832016223,darkmagenta,0.01439,#900053,30,59,-7,0.03103448275862069,#940049,30,60,0,0.03571428571428571
eggplant,2349,-9.265747366281534,eggplant,0.02319,#47253c,20,20,-8,0.04861111111111111,#4e3343,25,15,-5,0.05263157894736842
sage,2367,-9.332640224715583,sage,0.01792,#97b785,71,-20,22,0.050505050505050504,#93b486,70,-20,20,0.050505050505050504
darkturquoise,1687,-8.631778199684145,darkturquoise,0.01506,#004b4e,28,-21,-8,0.035175879396984924,#00444a,25,-20,-10,0.03875968992248062
puce,2775,-10.000437072314545,puce,0.01278,#935f62,46,22,7,0.03418803418803419,#8d5e63,45,20,5,0.03418803418803419
bloodred,1203,-7.885418110005076,bloodred,0.01815,#8c0003,28,52,40,0.035,#810000,25,50,40,0.04
neonpurple,1618,-8.459235423647835,neonpurple,0.00966,#d140ff,57,82,-71,0.015985790408525755,#d554ff,60,75,-65,0.01893939393939394
mossgreen,2487,-9.676620102110313,mossgreen,0.01219,#6d8a48,54,-22,32,0.021164021164021163,#769b5a,60,-25,30,0.02830188679245283
