term,rel_term,frequency,entropy,Hex,lab_L,lab_a,lab_b,prob
lightteal,,3513,-9.396430048497082,#9bdcc3,83,-26,6,0.0025619128949615714
cerulean,,3324,-9.638204246985207,#007ba9,48,-13,-33,0.002707581227436823
flesh,,2402,-8.831147580289537,#ffcdab,86,14,24,0.005412156536219817
orangebrown,,2306,-8.728977935707666,#b46206,50,28,57,0.006504770164787511
slateblue,,2896,-9.351690910943061,#5e7a95,50,-3,-18,0.004488950276243094
slate,,3163,-9.617979310118276,#50606d,40,-3,-9,0.003161555485298767
coral,,2234,-8.799722437910656,#ff685e,64,58,36,0.0040286481647269475
blueviolet,,2426,-9.132519853847898,#6c35d7,39,59,-74,0.003709810387469085
ochre,,2832,-9.500997043580918,#ba9003,62,5,66,0.0035310734463276836
leafgreen,,2758,-9.405770354267217,#5e9e1b,59,-41,56,0.0025380710659898475
electricblue,,1882,-8.732626265115078,#001ffd,34,72,-104,0.005844845908607864
seablue,,2706,-9.516853810780988,#006f93,43,-15,-28,0.0029563932002956393
midnightblue,,2005,-8.701329760187637,#00022d,2,11,-26,0.0029925187032418953
steelblue,,2425,-9.195818377311284,#607995,50,-2,-18,0.003711340206185567
brick,,2279,-9.098948313707922,#a54030,41,41,31,0.0035103115401491883
palepurple,,2975,-9.741194579003825,#bd9bbc,68,18,-12,0.0016806722689075631
mediumblue,,2357,-9.31347450538179,#0066b1,42,4,-47,0.002969876962240136
burntsienna,,2034,-8.915337934956204,#a44217,41,38,44,0.004916420845624385
darkmagenta,,1904,-8.86670832016223,#900053,30,59,-7,0.004726890756302521
eggplant,,2349,-9.265747366281534,#47253c,20,20,-8,0.002979991485738612
sage,,2367,-9.332640224715583,#97b785,71,-20,22,0.004224757076468103
darkturquoise,,1687,-8.631778199684145,#004b4e,28,-21,-8,0.004149377593360996
puce,,2775,-10.000437072314545,#935f62,46,22,7,0.0014414414414414415
bloodred,,1203,-7.885418110005076,#8c0003,28,52,40,0.011637572734829594
neonpurple,,1618,-8.459235423647835,#d140ff,57,82,-71,0.005562422744128554
mossgreen,,2487,-9.676620102110313,#6d8a48,54,-22,32,0.0016083634901487736
terracotta,,1899,-8.997369843428444,#c26448,53,35,33,0.00421274354923644
oceanblue,,2093,-9.411386184762014,#006185,38,-13,-27,0.0023889154323936935
yellowbrown,,1617,-8.666677269610735,#997800,52,3,60,0.0030921459492888066
brightyellow,,642,-6.523028207969913,#f7f900,95,-22,94,0.02336448598130841
dustyrose,,1935,-9.108922429406135,#bc7673,57,27,13,0.0036175710594315244
applegreen,,1721,-8.929418455583818,#8fd748,79,-45,61,0.002905287623474724
neonpink,,1112,-7.977896025777589,#ff00ae,57,90,-20,0.0044964028776978415
skin,,1341,-8.39382270588599,#ffd1ab,87,11,25,0.007457121551081283
cornflowerblue,,1999,-9.354178766972609,#7e8bf1,61,22,-53,0.0025012506253126563
lightturquoise,,1578,-8.708427881368623,#9cfedc,93,-36,7,0.0025348542458808617
wine,,1489,-8.709568176885883,#620830,20,40,1,0.004029550033579583
deepred,,940,-7.739534648304209,#840007,26,51,36,0.00851063829787234
azure,,1645,-9.070980681645203,#4caaff,68,2,-54,0.0024316109422492403
